Name,Minimum X,Minimum Y,Maximum X,Maximum Y,Coordinate System
Northern Mariana Islands,145.12117,14.108302,145.837316,18.810365,WGS 84
Norway,4.877617,57.988844,31.058659,71.192634,WGS 84
Oman,51.878168,16.630806,59.849153,26.25079,WGS 84
Pakistan,60.865786,23.196244,75.390701,36.888082,WGS 84
Palau Islands,134.135398,6.883513,134.659853,7.728589,WGS 84
Panama,-82.933441,7.198784,-77.300251,9.56557,WGS 84
Panama Canal Zone,-80.133515,8.798865,-79.383534,9.465565,WGS 84
Papua New Guinea,141.001072,-10.619135,155.967965,-2.488243,WGS 84
Paraguay,-62.63398,-27.469248,-54.350855,-19.352406,WGS 84
Peru,-81.30015,-18.352343,-68.667137,-0.034915,WGS 84
Philippines,117.217272,5.58229,126.61748,18.650204,WGS 84
Pitcairn Islands,-130.744962,-25.080149,-130.085237,-23.919878,WGS 84
Poland,14.116673,49.006745,24.147716,54.830077,WGS 84
Portugal,-9.49905,36.980001,-6.188726,42.137639,WGS 84
Puerto Rico,-67.168059,17.947192,-65.600561,18.516026,WGS 84
Qatar,50.717509,24.550624,51.662099,26.100744,WGS 84
Reunion,55.256566,-21.391511,55.852124,-20.846313,WGS 84
Romania,20.267027,43.628536,29.688642,48.267704,WGS 84
Russian Federation,-179.982453,41.684964,179.954021,81.201828,WGS 84
Rwanda,28.932038,-2.701809,30.848728,-1.068337,WGS 84
Saint Lucia,-61.080093,13.832794,-60.923628,14.04737,WGS 84
San Marino,12.418953,43.934167,12.528057,44.007897,WGS 84
Sao Tome & Principe,6.469116,0.025086,7.462729,1.677157,WGS 84
Saudi Arabia,34.665278,15.616794,55.665171,32.23438,WGS 84
Senegal,-17.505647,12.31591,-11.384761,16.632867,WGS 84
Seychelles,46.208659,-9.431021,55.547456,-4.592284,WGS 84
Sierra Leone,-13.305885,6.932233,-10.268083,9.999113,WGS 84
Singapore,103.636312,1.261887,104.076041,1.387215,WGS 84
Slovakia,16.831532,47.728573,22.567456,49.587455,WGS 84
Slovenia,13.348411,45.417387,16.531679,46.878382,WGS 84
Solomon Islands,156.584641,-10.852436,162.301374,-6.652135,WGS 84
Somalia,40.982199,-1.668395,51.24903,11.932873,WGS 84
South Africa,14.448465,-34.770212,32.898604,-22.186532,WGS 84
Spain,-18.005368,27.735326,4.31876,43.774069,WGS 84
Sri Lanka,79.733006,5.886726,81.88306,9.884194,WGS 84
St. Helena,-14.426487,-7.993101,-14.290581,-7.88935,WGS 84
St. Kitts & Nevis,-62.853397,17.096249,-62.534792,17.388762,WGS 84
St. Vincent & Grenadine,-61.270088,13.142723,-61.140091,13.368567,WGS 84
Sudan,21.831935,3.482055,38.465436,23.13373,WGS 84
Suriname,-57.950707,1.83185,-54.067455,5.977029,WGS 84
Swaziland,30.965242,-27.2868,32.131927,-25.736729,WGS 84
Sweden,11.075721,55.33651,24.187227,69.008113,WGS 84
Switzerland,5.954041,45.79861,10.487069,47.790094,WGS 84
Syrian Arab Rep.,35.615219,32.317693,42.348608,37.184682,WGS 84
Taiwan,120.091723,21.877504,122.000778,25.34784,WGS 84
Tajikistan,67.393062,36.768255,75.099452,41.701196,WGS 84
Tanzania,29.432041,-11.669223,40.432173,-1.001667,WGS 84
Thailand,97.350123,5.782331,105.583662,20.350408,WGS 84
Togo,-0.168131,6.098874,1.631884,11.132577,WGS 84
Tonga,-174.981792,-21.452903,-174.898464,-21.302899,WGS 84
Trinidad & Tobago,-61.817293,10.06562,-60.95065,10.748989,WGS 84
Tunisia,7.514938,30.233913,11.531632,37.328164,WGS 84
Turkey,26.048254,35.884545,44.798658,42.107992,WGS 84
Turkmenistan,52.43206,35.251442,65.682504,42.835269,WGS 84
Turks And Caicos Islands,-72.31984,21.77171,-71.634024,21.855879,WGS 84
Tuvalu,177.007296,-12.52053,177.125352,-12.496085,WGS 84
U.S. Virgin Islands,-64.883909,17.715995,-64.567252,17.799333,WGS 84
Uganda,29.598714,-1.38503,34.99878,4.215457,WGS 84
Ukraine,22.127478,44.434079,40.481101,52.520193,WGS 84
United Arab Emirates,51.115058,22.499929,56.38239,25.884093,WGS 84
United Kingdom,-8.161007,49.962176,1.746282,60.83525,WGS 84
United States,-179.625852,18.924902,-66.907534,71.428865,WGS 84
United States - Alaska,-179.625852,51.56,-129.87,71.428865,WGS 84
United States - Conterminous,-124.63,24.53,-66.907534,49.37,WGS 84
United States - Hawaii,-160.25,18.924902,-154.75,22.23,WGS 84
Uruguay,-58.417494,-34.980712,-53.267621,-30.119265,WGS 84
Uzbekistan,56.029367,37.251591,70.978476,45.900011,WGS 84
Vanuatu,166.684776,-18.945417,169.234252,-14.76935,WGS 84
Vatican City (Holy See),12.594055,41.689731,12.601815,41.695199,WGS 84
Venezuela,-73.367015,0.748458,-59.817336,12.18238,WGS 84
Vietnam,102.133586,8.699288,109.400427,23.250654,WGS 84
Western Sahara,-17.065734,20.766432,-8.668234,27.666891,WGS 84
Western Samoa,-172.280718,-13.883654,-171.680539,-13.65031,WGS 84
Yemen,42.682188,12.682913,53.088482,18.999619,WGS 84
Yugoslavia,18.452434,41.789831,23.003562,46.191535,WGS 84
Zaire,12.198571,-13.419317,31.298733,5.2822,WGS 84
Zambia,21.998584,-18.086276,33.632077,-8.185594,WGS 84
Zimbabwe,25.265269,-22.419896,32.98201,-15.636143,WGS 84
Hong Kong SAR,114.067688,22.227399,114.204419,22.294651,WGS 84
China,73.666057,18.170818,134.618108,53.402093,WGS 84
World,-180,-90,180,90,WGS 84
